# device warming up from 21 °C to 27 °C (measured at case), watching a ceiling of 19.25 °C
#rmin rmax central devtempsns
15812 16006 15873 4328
15811 16005 15872 4328
15810 16004 15868 4329
15808 16008 15868 4328
15810 16004 15868 4328
15809 16001 15866 4328
15808 16003 15864 4328
15809 16002 15865 4328
15809 16004 15866 4328
15803 16004 15865 4328
15807 16004 15864 4328
15807 16006 15863 4327
15802 16004 15862 4327
15803 16004 15863 4328
15803 16006 15866 4328
15803 16003 15867 4328
15802 16005 15867 4328
15803 16004 15864 4327
15801 16008 15865 4328
15801 16004 15863 4329
15799 16003 15865 4328
15802 16007 15862 4327
15797 16005 15860 4327
15796 16002 15859 4327
15796 16004 15857 4327
15797 16006 15859 4328
15798 16003 15858 4328
15793 16003 15860 4326
15795 16008 15858 4327
15795 16003 15857 4327
15796 16005 15860 4327
15794 16006 15859 4327
15791 16001 15858 4327
15790 16003 15859 4327
15794 16003 15858 4327
15789 16007 15858 4326
15812 16004 15870 4327
15812 16004 15869 4327
15811 16005 15869 4327
15808 16003 15867 4327
15812 16003 15867 4327
15806 16002 15865 4327
15809 16001 15865 4327
15805 16001 15865 4326
15803 16003 15866 4327
15797 16003 15864 4326
15804 16004 15861 4327
15800 16007 15865 4326
15798 16003 15863 4327
15798 16003 15863 4327
15800 16001 15860 4326
15802 16001 15862 4326
15801 16005 15861 4326
15800 16002 15861 4326
15800 16000 15861 4326
15795 16001 15861 4326
15798 16003 15863 4326
15797 16003 15862 4326
15796 16003 15861 4326
15794 16001 15861 4327
15795 16001 15860 4328
15794 16002 15861 4326
15793 16002 15861 4326
15792 16002 15856 4325
15793 16002 15857 4327
15791 16001 15854 4325
15792 15999 15855 4326
15789 16004 15855 4326
15789 16003 15854 4325
15789 16003 15854 4325
15790 16002 15853 4326
15787 16003 15854 4326
15786 16004 15853 4325
15802 16001 15869 4326
15797 15995 15868 4326
15802 16000 15867 4326
15798 16001 15869 4326
15802 16000 15868 4325
15794 16000 15864 4325
15795 16006 15863 4326
15792 16000 15865 4325
15794 16003 15867 4325
15792 15996 15864 4326
15792 15996 15864 4325
15789 15997 15862 4325
15794 16002 15862 4325
15787 16000 15861 4324
15787 15997 15861 4325
15785 15996 15862 4326
15789 15998 15861 4325
15791 16000 15858 4325
15791 15998 15860 4325
15792 15997 15855 4325
15793 15998 15858 4326
15787 16000 15857 4325
15790 16000 15855 4325
15790 15998 15856 4325
15787 15996 15856 4325
15783 15997 15858 4324
15785 15996 15858 4325
15786 16001 15857 4325
15782 16002 15860 4324
15784 16001 15857 4325
15781 16001 15857 4325
15782 15995 15854 4323
15783 15997 15857 4324
15781 15996 15854 4324
15779 15993 15853 4323
15782 15993 15853 4323
15779 15995 15854 4325
15797 16001 15864 4323
15797 15999 15866 4323
15800 16000 15866 4324
15799 15999 15865 4324
15796 15998 15862 4324
15795 16000 15862 4325
15796 16000 15863 4324
15794 15999 15860 4324
15796 16000 15863 4324
15794 16000 15860 4323
15794 15998 15859 4324
15796 16000 15859 4323
15794 16001 15856 4323
15795 15998 15856 4324
15793 15996 15856 4323
15790 15997 15856 4323
15788 15996 15853 4323
15789 15998 15853 4324
15791 15998 15854 4323
15788 15997 15854 4323
15788 16001 15856 4323
15789 16000 15853 4323
15790 15999 15852 4323
15790 15999 15853 4324
15785 16000 15850 4323
15783 15997 15854 4323
15785 15997 15851 4322
15783 15997 15850 4323
15788 16000 15852 4323
15787 15996 15851 4323
15782 15999 15850 4324
15780 16000 15851 4323
15779 15999 15853 4322
15786 15999 15849 4323
15784 16000 15847 4323
15781 15998 15850 4323
15784 15998 15849 4324
15794 15997 15859 4323
15786 15992 15860 4324
15794 15992 15860 4323
15791 15992 15859 4322
15791 15989 15858 4324
15786 15993 15857 4323
15789 15990 15859 4323
15786 15996 15854 4322
15786 15994 15855 4322
15787 15992 15857 4323
15787 15990 15859 4322
15783 15993 15857 4322
15780 15992 15861 4323
15784 15994 15859 4323
15785 15992 15858 4322
15780 15993 15857 4323
15783 15991 15857 4322
15781 15993 15854 4322
15781 15991 15853 4322
15781 15990 15855 4323
15782 15993 15855 4322
15783 15990 15853 4321
15783 15995 15853 4321
15780 15994 15853 4321
15783 15995 15852 4321
15777 15995 15851 4322
15780 15993 15851 4322
15782 15993 15854 4322
15774 15993 15853 4323
15780 15991 15854 4322
15775 15994 15854 4321
15773 15991 15852 4322
15777 15987 15851 4321
15777 15990 15854 4322
15774 15989 15852 4322
15775 15990 15853 4322
15775 15993 15852 4322
15791 15994 15857 4322
15784 15988 15856 4322
15791 15991 15857 4321
15788 15992 15858 4321
15786 15990 15856 4322
15785 15988 15860 4322
15787 15989 15859 4322
15782 15989 15857 4322
15782 15988 15855 4322
15783 15990 15853 4322
15782 15990 15853 4320
15782 15989 15852 4321
15782 15994 15854 4321
15780 15985 15851 4321
15780 15992 15850 4320
15782 15988 15851 4320
15780 15991 15854 4321
15779 15988 15850 4321
15780 15988 15851 4321
15780 15989 15849 4319
15776 15990 15846 4320
15775 15988 15847 4322
15775 15989 15847 4321
15772 15990 15847 4321
15776 15990 15848 4320
15774 15989 15846 4321
15768 15991 15846 4321
15773 15993 15846 4320
15771 15992 15844 4321
15765 15989 15847 4320
15773 15988 15850 4322
15769 15990 15844 4320
15772 15985 15844 4321
15771 15991 15846 4321
15769 15990 15844 4320
15769 15994 15844 4321
15771 15993 15847 4322
15787 15987 15853 4320
15779 15991 15852 4319
15784 15987 15852 4320
15786 15989 15851 4320
15781 15989 15850 4320
15780 15991 15849 4320
15778 15990 15849 4320
15777 15989 15851 4320
15784 15987 15848 4320
15776 15984 15849 4320
15782 15989 15850 4320
15774 15990 15849 4320
15778 15991 15850 4319
15776 15987 15850 4320
15774 15988 15849 4319
15777 15991 15851 4320
15778 15991 15849 4319
15780 15990 15848 4320
15775 15993 15847 4320
15775 15989 15847 4320
15777 15988 15848 4319
15777 15989 15847 4320
15778 15990 15845 4320
15773 15988 15845 4320
15776 15991 15844 4320
15776 15985 15846 4320
15777 15991 15845 4320
15775 15990 15843 4319
15775 15988 15845 4318
15774 15988 15839 4320
15768 15990 15842 4319
15774 15986 15842 4319
15771 15990 15841 4318
15772 15986 15843 4319
15771 15987 15842 4318
