# device cooling down from about 30 °C
#rmin rmax central devtempsns
15513 15801 15594 4199
15510 15804 15591 4199
15508 15803 15594 4199
15513 15801 15591 4198
15509 15799 15594 4199
15509 15798 15592 4198
15509 15799 15592 4198
15512 15801 15592 4198
15508 15800 15589 4199
15508 15801 15590 4199
15503 15805 15591 4199
15510 15800 15591 4198
15507 15800 15592 4199
15506 15799 15591 4199
15513 15804 15592 4199
15514 15801 15591 4197
15507 15799 15590 4199
15514 15802 15592 4199
15513 15799 15594 4199
15510 15801 15595 4199
15509 15800 15596 4199
15513 15805 15587 4198
15514 15805 15587 4199
15513 15803 15589 4199
15512 15800 15591 4198
15508 15802 15588 4199
15507 15805 15588 4199
15505 15803 15586 4198
15509 15804 15587 4199
15508 15802 15589 4199
15508 15804 15589 4199
15509 15807 15588 4198
15510 15804 15589 4198
15510 15804 15588 4198
15513 15804 15588 4199
15508 15803 15590 4198
15510 15805 15592 4199
15508 15803 15592 4199
15508 15804 15589 4198
15509 15802 15590 4199
15510 15805 15591 4199
15510 15804 15591 4199
15508 15804 15590 4199
15510 15806 15591 4199
15508 15801 15589 4199
15511 15802 15591 4199
15509 15801 15591 4200
15508 15802 15588 4199
15509 15799 15590 4200
15510 15799 15588 4199
15508 15801 15588 4200
15508 15810 15589 4200
15509 15808 15588 4199
15506 15804 15587 4200
15508 15803 15586 4199
15513 15807 15585 4199
15508 15803 15587 4199
15508 15806 15586 4199
15511 15801 15590 4200
15509 15806 15589 4199
15510 15801 15591 4199
15507 15801 15595 4200
15507 15803 15588 4200
15506 15796 15591 4199
15503 15799 15592 4200
15504 15795 15591 4199
15507 15797 15591 4199
15506 15801 15590 4200
15503 15801 15592 4200
15505 15798 15592 4200
15504 15802 15592 4199
15507 15800 15590 4199
15509 15803 15589 4200
15507 15798 15586 4199
15507 15803 15588 4200
15505 15802 15587 4201
15510 15798 15588 4201
15508 15804 15588 4201
15508 15803 15590 4201
15507 15801 15591 4201
15507 15801 15589 4200
15508 15803 15591 4202
15508 15800 15588 4201
15507 15798 15589 4201
15511 15806 15590 4202
15506 15803 15588 4201
15506 15801 15588 4201
15506 15799 15587 4200
15504 15799 15589 4201
15505 15799 15586 4200
15509 15800 15587 4200
15503 15797 15587 4201
15507 15799 15591 4200
15505 15800 15587 4200
15506 15801 15585 4200
15512 15803 15589 4201
15510 15803 15585 4201
15507 15801 15589 4201
15509 15803 15587 4201
15510 15802 15590 4201
15506 15808 15591 4200
15513 15800 15588 4201
15508 15802 15589 4200
15509 15808 15587 4201
15511 15804 15590 4201
15510 15800 15585 4200
15510 15803 15589 4201
15509 15802 15587 4200
15509 15801 15591 4201
15507 15800 15589 4201
15508 15800 15588 4201
15507 15798 15590 4201
15509 15801 15590 4201
15510 15805 15588 4201
15512 15801 15590 4201
15508 15799 15589 4200
15510 15802 15587 4201
15507 15801 15588 4201
15510 15806 15589 4201
15508 15802 15588 4201
15508 15803 15588 4201
15503 15803 15587 4201
15509 15800 15589 4201
15509 15803 15587 4201
15510 15800 15586 4201
15510 15801 15586 4201
15511 15802 15585 4201
15509 15802 15587 4201
15508 15800 15585 4201
15511 15802 15588 4201
15509 15799 15587 4201
15508 15797 15587 4201
15507 15800 15589 4201
15508 15798 15590 4201
15504 15797 15591 4201
15509 15798 15591 4202
15509 15799 15593 4201
15509 15802 15590 4200
15507 15799 15589 4201
15506 15805 15590 4201
15505 15798 15590 4201
15506 15800 15590 4202
15507 15799 15591 4200
15504 15796 15591 4201
15508 15795 15592 4201
15499 15799 15592 4202
15504 15798 15592 4201
15509 15801 15589 4202
15507 15797 15589 4201
15511 15798 15589 4201
15505 15798 15589 4201
15512 15799 15589 4201
15509 15799 15594 4202
15513 15801 15592 4201
15506 15800 15592 4201
15508 15801 15590 4201
15509 15801 15593 4201
15506 15797 15592 4202
15508 15798 15588 4201
15510 15797 15588 4201
15509 15797 15588 4202
15510 15797 15589 4202
15511 15798 15588 4202
15510 15796 15588 4202
15509 15797 15589 4202
15508 15797 15590 4201
15508 15801 15589 4202
15510 15799 15589 4202
15508 15800 15592 4202
15506 15805 15589 4201
15509 15804 15585 4202
15507 15799 15586 4201
15505 15801 15585 4201
15507 15804 15584 4202
15508 15802 15584 4202
15509 15802 15583 4202
15511 15800 15585 4201
15510 15797 15584 4201
15503 15800 15583 4202
15508 15800 15582 4202
15504 15801 15584 4202
15505 15807 15581 4201
15501 15802 15583 4201
15506 15803 15578 4201
15505 15803 15580 4201
15506 15797 15581 4202
15506 15803 15581 4201
15507 15801 15581 4202
15509 15799 15583 4201
15506 15799 15585 4201
15508 15799 15583 4201
15506 15803 15581 4201
15505 15800 15584 4202
15507 15801 15583 4202
15510 15803 15583 4202
15504 15804 15579 4202
15503 15802 15577 4202
15503 15803 15580 4202
15506 15799 15578 4201
15507 15800 15580 4201
15506 15796 15577 4203
15505 15798 15578 4202
15503 15796 15581 4202
15504 15798 15582 4202
15507 15797 15581 4202
15506 15797 15582 4201
15513 15804 15591 4202
15509 15798 15590 4202
15508 15806 15589 4202
15510 15799 15590 4202
15506 15800 15591 4203
15511 15800 15590 4202
15510 15804 15587 4202
15504 15804 15588 4202
15508 15803 15586 4202
15507 15802 15584 4202
15504 15801 15587 4202
15508 15806 15586 4202
15509 15805 15587 4202
15512 15804 15587 4202
15512 15805 15586 4202
15509 15800 15585 4201
15510 15801 15587 4202
15509 15805 15589 4202
15504 15803 15588 4201
15507 15801 15589 4201
15508 15802 15591 4202
15507 15802 15591 4202
15509 15803 15589 4202
15510 15806 15589 4202
15512 15802 15588 4202
15511 15804 15589 4202
15507 15801 15589 4202
15511 15805 15590 4202
15511 15802 15591 4202
15513 15802 15593 4202
15511 15804 15590 4202
15508 15800 15590 4202
15508 15802 15587 4202
15507 15801 15586 4202
15509 15800 15585 4202
15511 15806 15589 4202
15508 15801 15586 4202
15511 15802 15592 4203
15511 15800 15586 4202
15512 15798 15585 4203
