#rmin rmax central devtempsns
# tap water initially at roughly 17 °C
15584 16171 15657 4293
15586 16173 15659 4293
15584 16170 15660 4292
15584 16172 15661 4293
15585 16172 15660 4293
15593 16170 15666 4292
15594 16171 15669 4293
15595 16175 15666 4294
15590 16175 15666 4293
15591 16174 15666 4293
15591 16174 15667 4294
15592 16170 15664 4294
15590 16176 15667 4293
15591 16171 15666 4292
15590 16172 15662 4293
15589 16174 15662 4293
15587 16170 15661 4293
15585 16172 15663 4293
15587 16173 15661 4293
15583 16175 15662 4293
15583 16170 15661 4292
15585 16173 15661 4292
15584 16171 15661 4292
15585 16175 15660 4293
15585 16171 15660 4293
15580 16176 15660 4293
15590 16177 15662 4292
15584 16175 15659 4293
15586 16179 15660 4292
15583 16175 15657 4292
15580 16174 15658 4292
15589 16178 15654 4292
15582 16173 15657 4292
15586 16173 15658 4291
15581 16175 15658 4292
15582 16173 15655 4292
15582 16175 15655 4292
15584 16176 15657 4292
15582 16173 15656 4292
15585 16172 15656 4292
15582 16175 15657 4292
15586 16177 15655 4293
15581 16178 15656 4292
15578 16176 15655 4292
15577 16175 15655 4292
15579 16175 15654 4292
15577 16173 15654 4292
15592 16175 15667 4292
15591 16175 15664 4292
15587 16173 15665 4292
15587 16176 15666 4292
15587 16174 15666 4292
15588 16175 15665 4292
15587 16171 15664 4292
15588 16171 15665 4293
15586 16176 15668 4292
15586 16175 15669 4291
15589 16176 15667 4292
15582 16173 15666 4292
15584 16173 15666 4292
15582 16176 15666 4291
15584 16175 15667 4292
15580 16179 15668 4292
15582 16175 15668 4292
15583 16172 15665 4292
15578 16174 15664 4292
15583 16179 15664 4292
15581 16173 15664 4292
15588 16171 15661 4292
15585 16166 15659 4291
15584 16170 15659 4293
15581 16172 15660 4292
15584 16171 15658 4291
15582 16167 15657 4291
15584 16173 15657 4292
15582 16169 15657 4291
15580 16172 15660 4291
15581 16172 15660 4292
15581 16171 15660 4292
15582 16169 15660 4292
15579 16168 15662 4291
15579 16171 15661 4292
15579 16170 15661 4291
15582 16169 15662 4292
15578 16170 15656 4292
15576 16169 15656 4291
15579 16169 15657 4291
15579 16171 15658 4292
15577 16170 15657 4292
15590 16168 15662 4292
15586 16167 15660 4292
15584 16169 15660 4291
15582 16167 15659 4291
15582 16169 15661 4291
15584 16167 15660 4291
15581 16170 15661 4290
15577 16165 15657 4291
15585 16168 15656 4292
15585 16169 15656 4290
15580 16168 15655 4291
15577 16165 15655 4292
15572 16168 15656 4291
15577 16167 15656 4292
15580 16170 15653 4290
15581 16168 15655 4291
15580 16169 15651 4292
15576 16173 15653 4292
15577 16170 15654 4292
15575 16171 15655 4291
15575 16170 15653 4292
15581 16166 15661 4291
15584 16163 15659 4292
15580 16168 15660 4291
15579 16165 15659 4291
15584 16168 15658 4291
15575 16167 15661 4291
15578 16165 15659 4291
15574 16167 15656 4291
15577 16164 15656 4290
15575 16164 15656 4291
15576 16163 15655 4291
15576 16164 15654 4290
15574 16167 15657 4290
15573 16165 15657 4290
15574 16165 15658 4291
15576 16166 15656 4291
15576 16164 15653 4290
15574 16162 15655 4290
15571 16163 15654 4290
15574 16166 15652 4291
15571 16163 15657 4292
15578 16163 15656 4292
15578 16161 15656 4291
15578 16165 15658 4292
15571 16162 15654 4291
15579 16164 15654 4291
15575 16164 15653 4290
15573 16162 15652 4291
15572 16163 15652 4291
15571 16160 15653 4291
15569 16159 15654 4292
15573 16162 15651 4291
15572 16164 15650 4290
15570 16161 15653 4291
15570 16161 15654 4291
15570 16162 15652 4291
15572 16163 15651 4291
15572 16161 15653 4290
15565 16162 15654 4291
15571 16160 15652 4290
15564 16160 15652 4290
15564 16164 15651 4291
15584 16165 15652 4290
15581 16166 15652 4291
15580 16163 15654 4291
15577 16165 15655 4291
15576 16165 15654 4291
15577 16167 15650 4291
15576 16173 15652 4291
15576 16168 15647 4290
15577 16164 15647 4291
15579 16166 15645 4292
15577 16165 15645 4291
15577 16161 15648 4291
15575 16163 15647 4291
15574 16171 15646 4290
15570 16168 15646 4290
15568 16168 15644 4290
15574 16168 15645 4291
15572 16167 15644 4291
15569 16170 15645 4291
15567 16169 15645 4291
15573 16164 15648 4290
15579 16163 15656 4290
15574 16164 15654 4290
15576 16165 15653 4290
15577 16167 15652 4291
15574 16161 15653 4289
15572 16161 15654 4290
15569 16162 15656 4290
15574 16161 15654 4290
15572 16166 15654 4289
15572 16160 15652 4290
15570 16161 15651 4289
15572 16162 15648 4290
15574 16161 15650 4291
15574 16163 15653 4290
15571 16161 15653 4290
15568 16161 15652 4290
15570 16164 15652 4290
15570 16161 15652 4290
15573 16163 15652 4290
15570 16162 15651 4290
15570 16158 15651 4290
15574 16164 15649 4290
15570 16164 15652 4290
15571 16161 15649 4290
15572 16159 15650 4290
15572 16162 15653 4289
15572 16162 15654 4290
15567 16158 15647 4290
15569 16157 15647 4290
15566 16163 15646 4290
15568 16157 15648 4290
15566 16159 15649 4290
15566 16160 15646 4289
15566 16158 15646 4290
15564 16159 15649 4289
15563 16160 15649 4290
15567 16160 15648 4290
15579 16162 15655 4289
15579 16163 15655 4290
15577 16162 15655 4290
15574 16164 15656 4290
15579 16161 15654 4290
15580 16161 15657 4290
15575 16162 15651 4289
15575 16160 15654 4290
15576 16162 15654 4290
15575 16161 15655 4291
15576 16160 15653 4289
15576 16160 15653 4290
15570 16163 15654 4290
15574 16164 15653 4290
15573 16160 15653 4289
15574 16158 15651 4289
15573 16160 15649 4289
15571 16159 15649 4289
15570 16159 15652 4289
15573 16156 15650 4289
15572 16161 15651 4289
15569 16161 15650 4289
15565 16161 15648 4289
15572 16161 15646 4289
15569 16158 15649 4290
15568 16158 15650 4289
15568 16162 15651 4289
15570 16159 15648 4290
15565 16159 15650 4289
15567 16157 15651 4290
15566 16160 15651 4290
15569 16157 15651 4289
15566 16158 15653 4289
15560 16156 15648 4289
15564 16160 15651 4289
15565 16161 15651 4290
15567 16161 15650 4289
15580 16163 15660 4289
15581 16168 15656 4289
15580 16168 15655 4289
15579 16164 15653 4289
15577 16166 15653 4289
15578 16163 15656 4288
15575 16165 15652 4288
15577 16164 15655 4289
15576 16164 15654 4290
15574 16164 15655 4288
15574 16165 15656 4289
15572 16168 15654 4289
15575 16169 15655 4288
15578 16164 15656 4289
15575 16162 15656 4289
15577 16169 15656 4288
15577 16165 15657 4289
15578 16168 15654 4290
15576 16166 15653 4289
15579 16164 15654 4290
15575 16163 15650 4289
15576 16164 15653 4289
15572 16164 15652 4290
15573 16163 15652 4290
15575 16167 15652 4290
15572 16166 15652 4289
15571 16165 15652 4289
15575 16164 15653 4289
15576 16162 15653 4290
15572 16162 15652 4289
15570 16166 15649 4289
15572 16162 15652 4290
15569 16163 15652 4289
15570 16163 15652 4289
15571 16162 15652 4290
15571 16163 15653 4289
15572 16163 15650 4289
15576 16162 15660 4289
15574 16160 15658 4288
15573 16160 15657 4289
15575 16161 15657 4289
15576 16161 15654 4289
15572 16160 15653 4288
15570 16160 15651 4288
15573 16162 15653 4288
15574 16158 15650 4288
15574 16160 15653 4288
15571 16162 15654 4289
15570 16159 15653 4289
15572 16161 15651 4288
15572 16161 15652 4289
15569 16161 15652 4288
15573 16160 15651 4289
15572 16161 15650 4288
15567 16159 15650 4289
15568 16161 15650 4289
15569 16161 15651 4289
15568 16157 15649 4288
15571 16159 15651 4288
15568 16158 15651 4288
15570 16159 15651 4288
15574 16160 15652 4289
15567 16157 15650 4288
15568 16162 15651 4288
15564 16163 15649 4290
15565 16161 15650 4288
15567 16161 15652 4288
15567 16164 15650 4288
15563 16160 15649 4287
15567 16163 15651 4288
15564 16161 15652 4288
15569 16162 15653 4288
15568 16161 15649 4288
15567 16158 15647 4289
15573 16162 15655 4288
15570 16158 15657 4288
15568 16162 15654 4289
15566 16163 15652 4289
15562 16161 15651 4287
15567 16162 15650 4287
15566 16162 15652 4288
15569 16162 15650 4287
15563 16156 15652 4288
15568 16157 15651 4288
15570 16159 15650 4289
15572 16161 15650 4289
15568 16160 15650 4288
15567 16156 15650 4287
15566 16160 15650 4288
15563 16164 15655 4287
15560 16163 15654 4289
15560 16162 15652 4288
15564 16159 15654 4288
15564 16161 15652 4288
15561 16157 15651 4288
15560 16158 15649 4288
15563 16155 15650 4288
15558 16157 15649 4288
15558 16154 15649 4287
15559 16157 15649 4288
15560 16154 15649 4288
15558 16156 15650 4288
15555 16153 15650 4287
15557 16157 15648 4288
15563 16159 15647 4288
15554 16155 15647 4287
15550 16157 15644 4287
15553 16155 15645 4288
15551 16158 15644 4287
15554 16155 15643 4288
15559 16156 15644 4288
15575 16158 15658 4287
15572 16160 15657 4288
15570 16156 15652 4287
15564 16155 15655 4287
15568 16158 15652 4287
15569 16155 15650 4287
15566 16155 15648 4287
15564 16156 15649 4287
15565 16155 15649 4287
15565 16156 15646 4287
15566 16155 15647 4287
15566 16157 15649 4288
15569 16157 15648 4288
15564 16156 15647 4289
15565 16155 15648 4286
15565 16156 15648 4287
15565 16158 15652 4288
15567 16156 15650 4288
15564 16155 15648 4288
15569 16160 15649 4288
15562 16156 15650 4287
15565 16154 15649 4288
15563 16153 15647 4287
15567 16157 15647 4287
15562 16154 15648 4287
15561 16157 15646 4287
15562 16155 15647 4287
15565 16155 15648 4288
15562 16154 15648 4287
15560 16155 15648 4288
15565 16156 15647 4287
15563 16158 15649 4288
15566 16157 15650 4287
15566 16158 15651 4288
15564 16156 15650 4287
15566 16157 15651 4287
15565 16155 15651 4287
15570 16161 15649 4287
15566 16155 15649 4287
15565 16155 15646 4287
15567 16158 15648 4287
15564 16157 15648 4288
15564 16158 15647 4287
15566 16157 15647 4287
15566 16156 15649 4287
15565 16153 15647 4287
15561 16157 15646 4287
15565 16157 15646 4287
15562 16158 15650 4287
15566 16156 15650 4288
15566 16158 15652 4287
15562 16157 15647 4287
15562 16158 15649 4286
15561 16155 15646 4287
15565 16159 15649 4287
15565 16156 15652 4286
15567 16153 15650 4287
15563 16156 15651 4286
15562 16156 15651 4287
15563 16153 15651 4287
15561 16154 15647 4287
15564 16156 15647 4287
15565 16156 15648 4286
15564 16158 15646 4287
15557 16158 15647 4287
15558 16156 15648 4287
15563 16164 15649 4287
15557 16160 15648 4287
15559 16159 15648 4287
15558 16160 15645 4287
15557 16154 15645 4288
15562 16161 15644 4288
15558 16152 15648 4287
15559 16157 15648 4286
15567 16160 15652 4286
15566 16157 15650 4287
15569 16158 15650 4287
15567 16155 15651 4287
15569 16158 15650 4286
15567 16154 15649 4286
15569 16155 15647 4286
15568 16160 15648 4287
15566 16157 15650 4287
15565 16157 15648 4287
15565 16161 15649 4286
15561 16157 15648 4286
15566 16157 15646 4286
15560 16154 15646 4286
15565 16155 15643 4287
15563 16153 15646 4286
15559 16155 15646 4286
15558 16157 15644 4287
15564 16157 15647 4286
15563 16154 15644 4286
15563 16153 15641 4287
15564 16153 15644 4286
15563 16157 15646 4286
15565 16160 15644 4286
15557 16157 15645 4286
15561 16160 15644 4286
15562 16157 15651 4287
15556 16157 15647 4287
15562 16157 15650 4286
15562 16155 15650 4288
15565 16154 15648 4287
15562 16158 15646 4286
15564 16162 15648 4286
15561 16160 15650 4287
15565 16160 15648 4287
15563 16153 15648 4286
15562 16156 15648 4286
15556 16153 15649 4287
15558 16153 15647 4286
15558 16150 15647 4286
15557 16155 15647 4286
15555 16148 15645 4286
15555 16151 15644 4286
15553 16154 15646 4287
15552 16150 15644 4285
15551 16152 15643 4286
15551 16151 15645 4287
15554 16152 15644 4286
15554 16155 15643 4287
15554 16153 15644 4287
15550 16151 15644 4286
15551 16151 15640 4287
15551 16149 15639 4287
15550 16149 15644 4286
15550 16152 15643 4286
15550 16150 15644 4287
15548 16155 15642 4286
15548 16152 15643 4287
15550 16152 15639 4287
15548 16153 15642 4285
15547 16152 15641 4285
15550 16151 15640 4286
15543 16152 15633 4285
15550 16151 15635 4286
15550 16152 15635 4286
15543 16151 15635 4285
15548 16149 15636 4286
15544 16153 15637 4285
15543 16152 15637 4286
15543 16150 15636 4285
15545 16151 15633 4285
15544 16153 15635 4285
15543 16149 15637 4286
15544 16150 15636 4285
15567 16153 15645 4286
15563 16158 15643 4285
15567 16156 15644 4285
15562 16153 15644 4286
15565 16153 15642 4286
15567 16157 15643 4286
15565 16158 15641 4285
15567 16156 15643 4286
15562 16157 15644 4286
15562 16160 15645 4286
15564 16156 15644 4286
15562 16157 15643 4286
15560 16161 15646 4286
15559 16161 15641 4286
15561 16159 15641 4286
15561 16157 15639 4286
15562 16155 15639 4285
15562 16150 15641 4285
15562 16155 15642 4286
15561 16159 15641 4286
15562 16161 15641 4285
15561 16155 15642 4285
15558 16154 15641 4285
15558 16158 15642 4285
15561 16159 15642 4285
15559 16155 15643 4284
15559 16157 15641 4286
15561 16158 15639 4285
15562 16157 15641 4286
15558 16160 15641 4285
15560 16155 15640 4284
15560 16157 15640 4286
15556 16160 15638 4285
15558 16157 15640 4285
15559 16153 15639 4285
15558 16157 15638 4285
15559 16156 15640 4286
15568 16157 15651 4285
15569 16157 15649 4285
15567 16155 15650 4286
15566 16155 15649 4285
15569 16155 15646 4286
15567 16156 15644 4285
15567 16183 15648 4286
15568 16219 15647 4285
15568 16174 15647 4285
15562 16155 15645 4284
15564 16157 15646 4285
15565 16160 15644 4284
15566 16157 15644 4284
15562 16155 15644 4284
15565 16154 15645 4285
15564 16152 15642 4285
15563 16155 15647 4286
15565 16157 15644 4285
15558 16153 15645 4285
15560 16153 15646 4285
15562 16155 15645 4285
15565 16157 15643 4286
15560 16153 15641 4285
15561 16150 15644 4285
15556 16153 15642 4285
15560 16157 15641 4285
15557 16154 15644 4285
15556 16152 15641 4285
15557 16151 15643 4286
15559 16148 15642 4285
15558 16156 15643 4284
15559 16154 15642 4286
15556 16153 15645 4285
15562 16155 15641 4285
15558 16149 15643 4285
15556 16158 15645 4285
15560 16156 15643 4285
15565 16149 15640 4285
15558 16146 15636 4285
15559 16144 15636 4285
15559 16148 15635 4285
15560 16147 15637 4285
15559 16144 15638 4285
15558 16149 15635 4285
15559 16147 15634 4285
15560 16147 15636 4285
15558 16147 15634 4285
15556 16154 15636 4286
15558 16148 15637 4286
15559 16150 15638 4284
15560 16147 15637 4285
15558 16148 15638 4285
15558 16150 15637 4284
15556 16148 15639 4284
15556 16150 15637 4284
15555 16148 15639 4284
15553 16147 15638 4285
15556 16147 15640 4284
15555 16150 15638 4286
15556 16145 15638 4284
15557 16144 15637 4284
15552 16148 15638 4285
15553 16146 15638 4285
15557 16147 15639 4285
15552 16143 15634 4285
15551 16143 15635 4284
15551 16142 15635 4285
15553 16146 15634 4285
15550 16142 15636 4285
15552 16146 15636 4284
15551 16149 15637 4286
15551 16145 15634 4285
15546 16148 15633 4284
15548 16147 15633 4284
15557 16150 15639 4285
15555 16151 15639 4285
15559 16153 15638 4285
15548 16153 15640 4285
15554 16148 15638 4285
15555 16151 15636 4285
15552 16151 15637 4284
15547 16153 15638 4286
15549 16151 15639 4285
15556 16150 15639 4285
15558 16149 15638 4284
15553 16151 15634 4285
15557 16152 15636 4284
15553 16147 15635 4284
15554 16151 15635 4285
15553 16155 15633 4284
15558 16149 15635 4284
15554 16151 15634 4285
15552 16154 15634 4285
15554 16157 15634 4285
15553 16148 15632 4285
15550 16152 15636 4284
15549 16152 15636 4285
15547 16152 15635 4284
15550 16156 15635 4285
15553 16148 15634 4284
15549 16155 15634 4285
15550 16153 15637 4284
15552 16150 15639 4284
15549 16147 15637 4283
15552 16150 15636 4286
15552 16152 15637 4284
15549 16158 15639 4285
15550 16155 15638 4284
15547 16153 15637 4285
15547 16155 15637 4285
15548 16153 15636 4285
15561 16158 15642 4283
15560 16154 15639 4285
15558 16156 15641 4284
15554 16156 15642 4284
15561 16153 15641 4284
15559 16156 15640 4284
15560 16152 15637 4284
